Notes,State,State Code,Year,Year Code,Sex,Sex Code,Race,Race Code,Age Group,Age Group Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,Alabama,1,2010,2010,Female,F,Black or African American,2054-5,85+ years,85+,23,10378,221.6,140.5,332.5,46.2
,Alabama,1,2010,2010,Female,F,White,2106-3,45-49 years,45-49,29,125306,23.1,15.5,33.2,4.3
,Alabama,1,2010,2010,Female,F,White,2106-3,50-54 years,50-54,48,126950,37.8,27.9,50.1,5.5
,Alabama,1,2010,2010,Female,F,White,2106-3,55-59 years,55-59,69,118219,58.4,45.4,73.9,7
,Alabama,1,2010,2010,Female,F,White,2106-3,60-64 years ,60-64,105,111348,94.3,77.1,114.2,9.2
,Alabama,1,2010,2010,Female,F,White,2106-3,65-69 years,65-69,155,89206,173.8,147.5,203.4,14
,Alabama,1,2010,2010,Female,F,White,2106-3,70-74 years,70-74,193,71048,271.6,234.7,312.8,19.6
,Alabama,1,2010,2010,Female,F,White,2106-3,75-79 years,75-79,165,56997,289.5,247,337.2,22.5
,Alabama,1,2010,2010,Female,F,White,2106-3,80-84 years,80-84,155,44597,347.6,295,406.8,27.9
,Alabama,1,2010,2010,Female,F,White,2106-3,85+ years,85+,111,42463,261.4,215,314.8,24.8
,Alabama,1,2010,2010,Male,M,Black or African American,2054-5,50-54 years,50-54,47,40878,115,84.5,152.9,16.8
,Alabama,1,2010,2010,Male,M,Black or African American,2054-5,55-59 years,55-59,56,35347,158.4,119.7,205.7,21.2
,Alabama,1,2010,2010,Male,M,Black or African American,2054-5,60-64 years ,60-64,62,26636,232.8,178.5,298.4,29.6
,Alabama,1,2010,2010,Male,M,Black or African American,2054-5,65-69 years,65-69,46,16963,271.2,198.5,361.7,40
,Alabama,1,2010,2010,Male,M,Black or African American,2054-5,70-74 years,70-74,70,11976,584.5,455.6,738.5,69.9
,Alabama,1,2010,2010,Male,M,Black or African American,2054-5,75-79 years,75-79,47,7979,589,432.8,783.3,85.9
,Alabama,1,2010,2010,Male,M,Black or African American,2054-5,80-84 years,80-84,35,4859,720.3,501.7,1001.8,121.8
,Alabama,1,2010,2010,Male,M,Black or African American,2054-5,85+ years,85+,19,3764,504.8,303.9,788.3,115.8
,Alabama,1,2010,2010,Male,M,White,2106-3,45-49 years,45-49,29,125473,23.1,15.5,33.2,4.3
,Alabama,1,2010,2010,Male,M,White,2106-3,50-54 years,50-54,76,125130,60.7,47.9,76,7
,Alabama,1,2010,2010,Male,M,White,2106-3,55-59 years,55-59,122,113050,107.9,89.6,128.9,9.8
,Alabama,1,2010,2010,Male,M,White,2106-3,60-64 years ,60-64,223,104229,214,186.8,244,14.3
,Alabama,1,2010,2010,Male,M,White,2106-3,65-69 years,65-69,275,80062,343.5,304.1,386.6,20.7
,Alabama,1,2010,2010,Male,M,White,2106-3,70-74 years,70-74,287,59775,480.1,426.2,539,28.3
,Alabama,1,2010,2010,Male,M,White,2106-3,75-79 years,75-79,245,43768,559.8,491.9,634.4,35.8
,Alabama,1,2010,2010,Male,M,White,2106-3,80-84 years,80-84,197,28840,683.1,591,785.4,48.7
,Alabama,1,2010,2010,Male,M,White,2106-3,85+ years,85+,116,19180,604.8,499.8,725.4,56.2
,Alabama,1,2011,2011,Female,F,Black or African American,2054-5,50-54 years,50-54,21,48804,43,26.6,65.8,9.4
,Alabama,1,2011,2011,Female,F,Black or African American,2054-5,55-59 years,55-59,21,43649,48.1,29.8,73.5,10.5
,Alabama,1,2011,2011,Female,F,Black or African American,2054-5,60-64 years ,60-64,30,34568,86.8,58.6,123.9,15.8
,Alabama,1,2011,2011,Female,F,Black or African American,2054-5,65-69 years,65-69,23,22347,102.9,65.2,154.4,21.5
,Alabama,1,2011,2011,Female,F,Black or African American,2054-5,70-74 years,70-74,40,17227,232.2,165.9,316.2,36.7
,Alabama,1,2011,2011,Female,F,Black or African American,2054-5,75-79 years,75-79,24,13567,176.9,113.3,263.2,36.1
,Alabama,1,2011,2011,Female,F,Black or African American,2054-5,80-84 years,80-84,22,10194,215.8,135.2,326.7,46
,Alabama,1,2011,2011,Female,F,Black or African American,2054-5,85+ years,85+,25,10542,237.1,153.5,350.1,47.4
,Alabama,1,2011,2011,Female,F,White,2106-3,45-49 years,45-49,24,121943,19.7,12.6,29.3,4
,Alabama,1,2011,2011,Female,F,White,2106-3,50-54 years,50-54,52,127653,40.7,30.4,53.4,5.6
,Alabama,1,2011,2011,Female,F,White,2106-3,55-59 years,55-59,78,120065,65,51.4,81.1,7.4
,Alabama,1,2011,2011,Female,F,White,2106-3,60-64 years ,60-64,124,114730,108.1,89.9,128.9,9.7
,Alabama,1,2011,2011,Female,F,White,2106-3,65-69 years,65-69,157,90811,172.9,146.9,202.1,13.8
,Alabama,1,2011,2011,Female,F,White,2106-3,70-74 years,70-74,172,72445,237.4,203.3,275.7,18.1
,Alabama,1,2011,2011,Female,F,White,2106-3,75-79 years,75-79,171,57205,298.9,255.8,347.2,22.9
,Alabama,1,2011,2011,Female,F,White,2106-3,80-84 years,80-84,128,44951,284.8,237.6,338.6,25.2
,Alabama,1,2011,2011,Female,F,White,2106-3,85+ years,85+,90,42924,209.7,168.6,257.7,22.1
,Alabama,1,2011,2011,Male,M,Black or African American,2054-5,50-54 years,50-54,34,40544,83.9,58.1,117.2,14.4
,Alabama,1,2011,2011,Male,M,Black or African American,2054-5,55-59 years,55-59,45,36254,124.1,90.5,166.1,18.5
,Alabama,1,2011,2011,Male,M,Black or African American,2054-5,60-64 years ,60-64,75,28567,262.5,206.5,329.1,30.3
,Alabama,1,2011,2011,Male,M,Black or African American,2054-5,65-69 years,65-69,63,17646,357,274.3,456.8,45
,Alabama,1,2011,2011,Male,M,Black or African American,2054-5,70-74 years,70-74,52,12143,428.2,319.8,561.6,59.4
,Alabama,1,2011,2011,Male,M,Black or African American,2054-5,75-79 years,75-79,50,8271,604.5,448.7,797,85.5
,Alabama,1,2011,2011,Male,M,Black or African American,2054-5,80-84 years,80-84,33,4820,684.6,471.3,961.5,119.2
,Alabama,1,2011,2011,Male,M,Black or African American,2054-5,85+ years,85+,24,3881,618.4,396.2,920.1,126.2
,Alabama,1,2011,2011,Male,M,White,2106-3,45-49 years,45-49,31,122126,25.4,17.2,36,4.6
,Alabama,1,2011,2011,Male,M,White,2106-3,50-54 years,50-54,86,125540,68.5,54.8,84.6,7.4
,Alabama,1,2011,2011,Male,M,White,2106-3,55-59 years,55-59,132,115048,114.7,96,136.1,10
,Alabama,1,2011,2011,Male,M,White,2106-3,60-64 years ,60-64,258,107455,240.1,211.7,271.3,14.9
,Alabama,1,2011,2011,Male,M,White,2106-3,65-69 years,65-69,255,81391,313.3,276,354.2,19.6
,Alabama,1,2011,2011,Male,M,White,2106-3,70-74 years,70-74,245,61244,400,351.5,453.4,25.6
,Alabama,1,2011,2011,Male,M,White,2106-3,75-79 years,75-79,245,44651,548.7,482.1,621.9,35.1
,Alabama,1,2011,2011,Male,M,White,2106-3,80-84 years,80-84,167,29436,567.3,484.5,660.2,43.9
,Alabama,1,2011,2011,Male,M,White,2106-3,85+ years,85+,108,19904,542.6,445.1,655.1,52.2
,Alabama,1,2012,2012,Female,F,Black or African American,2054-5,50-54 years,50-54,19,48538,39.1,23.6,61.1,9
,Alabama,1,2012,2012,Female,F,Black or African American,2054-5,55-59 years,55-59,26,45181,57.5,37.6,84.3,11.3
,Alabama,1,2012,2012,Female,F,Black or African American,2054-5,60-64 years ,60-64,21,36069,58.2,36,89,12.7
,Alabama,1,2012,2012,Female,F,Black or African American,2054-5,65-69 years,65-69,20,24028,83.2,50.8,128.6,18.6
,Alabama,1,2012,2012,Female,F,Black or African American,2054-5,70-74 years,70-74,27,17486,154.4,101.8,224.7,29.7
,Alabama,1,2012,2012,Female,F,Black or African American,2054-5,75-79 years,75-79,26,13770,188.8,123.3,276.7,37
,Alabama,1,2012,2012,Female,F,Black or African American,2054-5,80-84 years,80-84,19,10071,188.7,113.6,294.6,43.3
,Alabama,1,2012,2012,Female,F,Black or African American,2054-5,85+ years,85+,17,10797,157.5,91.7,252.1,38.2
,Alabama,1,2012,2012,Female,F,White,2106-3,45-49 years,45-49,29,118334,24.5,16.4,35.2,4.6
,Alabama,1,2012,2012,Female,F,White,2106-3,50-54 years,50-54,60,126838,47.3,36.1,60.9,6.1
,Alabama,1,2012,2012,Female,F,White,2106-3,55-59 years,55-59,72,122183,58.9,46.1,74.2,6.9
,Alabama,1,2012,2012,Female,F,White,2106-3,60-64 years ,60-64,129,112409,114.8,95.8,136.4,10.1
,Alabama,1,2012,2012,Female,F,White,2106-3,65-69 years,65-69,166,97771,169.8,144.9,197.7,13.2
,Alabama,1,2012,2012,Female,F,White,2106-3,70-74 years,70-74,181,74617,242.6,208.5,280.6,18
,Alabama,1,2012,2012,Female,F,White,2106-3,75-79 years,75-79,152,57788,263,222.9,308.3,21.3
,Alabama,1,2012,2012,Female,F,White,2106-3,80-84 years,80-84,130,44763,290.4,242.6,344.8,25.5
,Alabama,1,2012,2012,Female,F,White,2106-3,85+ years,85+,94,43956,213.9,172.8,261.7,22.1
,Alabama,1,2012,2012,Male,M,Black or African American,2054-5,50-54 years,50-54,37,40094,92.3,65,127.2,15.2
,Alabama,1,2012,2012,Male,M,Black or African American,2054-5,55-59 years,55-59,55,37484,146.7,110.5,191,19.8
,Alabama,1,2012,2012,Male,M,Black or African American,2054-5,60-64 years ,60-64,78,29621,263.3,208.1,328.6,29.8
,Alabama,1,2012,2012,Male,M,Black or African American,2054-5,65-69 years,65-69,60,19102,314.1,239.7,404.3,40.6
,Alabama,1,2012,2012,Male,M,Black or African American,2054-5,70-74 years,70-74,52,12600,412.7,308.2,541.2,57.2
,Alabama,1,2012,2012,Male,M,Black or African American,2054-5,75-79 years,75-79,31,8543,362.9,246.6,515.1,65.2
,Alabama,1,2012,2012,Male,M,Black or African American,2054-5,80-84 years,80-84,30,4964,604.4,407.8,862.7,110.3
,Alabama,1,2012,2012,Male,M,Black or African American,2054-5,85+ years,85+,26,3976,653.9,427.2,958.1,128.2
,Alabama,1,2012,2012,Male,M,White,2106-3,45-49 years,45-49,25,118599,21.1,13.6,31.1,4.2
,Alabama,1,2012,2012,Male,M,White,2106-3,50-54 years,50-54,68,125030,54.4,42.2,68.9,6.6
,Alabama,1,2012,2012,Male,M,White,2106-3,55-59 years,55-59,125,117261,106.6,88.7,127,9.5
,Alabama,1,2012,2012,Male,M,White,2106-3,60-64 years ,60-64,191,104977,181.9,157.1,209.7,13.2
,Alabama,1,2012,2012,Male,M,White,2106-3,65-69 years,65-69,248,88049,281.7,247.7,319,17.9
,Alabama,1,2012,2012,Male,M,White,2106-3,70-74 years,70-74,264,63285,417.2,368.4,470.6,25.7
,Alabama,1,2012,2012,Male,M,White,2106-3,75-79 years,75-79,247,45360,544.5,478.7,616.8,34.6
,Alabama,1,2012,2012,Male,M,White,2106-3,80-84 years,80-84,161,29935,537.8,458,627.6,42.4
,Alabama,1,2012,2012,Male,M,White,2106-3,85+ years,85+,125,20963,596.3,496.3,710.5,53.3
,Alabama,1,2013,2013,Female,F,Black or African American,2054-5,55-59 years,55-59,30,46258,64.9,43.8,92.6,11.8
,Alabama,1,2013,2013,Female,F,Black or African American,2054-5,60-64 years ,60-64,28,37620,74.4,49.5,107.6,14.1
,Alabama,1,2013,2013,Female,F,Black or African American,2054-5,65-69 years,65-69,28,25582,109.5,72.7,158.2,20.7
,Alabama,1,2013,2013,Female,F,Black or African American,2054-5,70-74 years,70-74,29,18136,159.9,107.1,229.6,29.7
,Alabama,1,2013,2013,Female,F,Black or African American,2054-5,75-79 years,75-79,36,13989,257.3,180.2,356.3,42.9
,Alabama,1,2013,2013,Female,F,Black or African American,2054-5,80-84 years,80-84,18,9995,180.1,106.7,284.6,42.4
,Alabama,1,2013,2013,Female,F,Black or African American,2054-5,85+ years,85+,20,10992,182,111.1,281,40.7
,Alabama,1,2013,2013,Female,F,White,2106-3,45-49 years,45-49,31,114771,27,18.4,38.3,4.9
,Alabama,1,2013,2013,Female,F,White,2106-3,50-54 years,50-54,51,126165,40.4,30.1,53.1,5.7
,Alabama,1,2013,2013,Female,F,White,2106-3,55-59 years,55-59,98,123776,79.2,64.3,96.5,8
,Alabama,1,2013,2013,Female,F,White,2106-3,60-64 years ,60-64,120,112036,107.1,88.8,128.1,9.8
,Alabama,1,2013,2013,Female,F,White,2106-3,65-69 years,65-69,171,100370,170.4,145.8,197.9,13
,Alabama,1,2013,2013,Female,F,White,2106-3,70-74 years,70-74,188,78103,240.7,207.5,277.7,17.6
,Alabama,1,2013,2013,Female,F,White,2106-3,75-79 years,75-79,177,59326,298.4,256,345.7,22.4
,Alabama,1,2013,2013,Female,F,White,2106-3,80-84 years,80-84,115,44289,259.7,214.4,311.7,24.2
,Alabama,1,2013,2013,Female,F,White,2106-3,85+ years,85+,101,44468,227.1,185,276,22.6
,Alabama,1,2013,2013,Male,M,Black or African American,2054-5,50-54 years,50-54,29,39833,72.8,48.8,104.6,13.5
,Alabama,1,2013,2013,Male,M,Black or African American,2054-5,55-59 years,55-59,53,38198,138.8,103.9,181.5,19.1
,Alabama,1,2013,2013,Male,M,Black or African American,2054-5,60-64 years ,60-64,69,30640,225.2,175.2,285,27.1
,Alabama,1,2013,2013,Male,M,Black or African American,2054-5,65-69 years,65-69,65,20449,317.9,245.3,405.1,39.4
,Alabama,1,2013,2013,Male,M,Black or African American,2054-5,70-74 years,70-74,71,13104,541.8,423.2,683.4,64.3
,Alabama,1,2013,2013,Male,M,Black or African American,2054-5,75-79 years,75-79,44,8768,501.8,364.6,673.7,75.7
,Alabama,1,2013,2013,Male,M,Black or African American,2054-5,80-84 years,80-84,26,5099,509.9,333.1,747.1,100
,Alabama,1,2013,2013,Male,M,Black or African American,2054-5,85+ years,85+,20,4006,499.3,305,771.1,111.6
,Alabama,1,2013,2013,Male,M,White,2106-3,45-49 years,45-49,27,115336,23.4,15.4,34.1,4.5
,Alabama,1,2013,2013,Male,M,White,2106-3,50-54 years,50-54,82,124609,65.8,52.3,81.7,7.3
